"year","quarter","sex","age","acf","hiv","smrxpertcases","period","acfperiod","year_q","population","hiv_prev","newpopulation"
"2009","2","males","20-29","Non-ACF","a) HIV-negative",8,"apre-ACF","Non-ACF.apre-ACF","2009.2",54189,0.017,53267.787
"2009","2","males","20-29","Non-ACF","b) HIV-positive",7,"apre-ACF","Non-ACF.apre-ACF","2009.2",54189,0.017,921.213
"2009","2","males","30-39","ACF",,4,"apre-ACF","ACF.apre-ACF","2009.2",16419,0.111,
"2009","2","males","30-39","ACF","b) HIV-positive",10,"apre-ACF","ACF.apre-ACF","2009.2",16419,0.111,1822.509
"2009","2","males","30-39","Non-ACF",,7,"apre-ACF","Non-ACF.apre-ACF","2009.2",35749,0.145,
"2009","2","males","30-39","Non-ACF","a) HIV-negative",4,"apre-ACF","Non-ACF.apre-ACF","2009.2",35749,0.145,30565.395
"2009","2","males","30-39","Non-ACF","b) HIV-positive",25,"apre-ACF","Non-ACF.apre-ACF","2009.2",35749,0.145,5183.605
"2009","2","males","40-49","ACF",,3,"apre-ACF","ACF.apre-ACF","2009.2",5953,0.248,
"2009","2","males","40-49","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.2",5953,0.248,4476.656
"2009","2","males","40-49","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.2",5953,0.248,1476.344
"2009","2","males","40-49","Non-ACF",,6,"apre-ACF","Non-ACF.apre-ACF","2009.2",16127,0.24,
"2009","2","males","40-49","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.2",16127,0.24,12256.52
"2009","2","males","40-49","Non-ACF","b) HIV-positive",12,"apre-ACF","Non-ACF.apre-ACF","2009.2",16127,0.24,3870.48
"2009","2","males","50+","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.2",5453,0.199,
"2009","2","males","50+","ACF","b) HIV-positive",4,"apre-ACF","ACF.apre-ACF","2009.2",5453,0.199,1085.147
"2009","2","males","50+","Non-ACF",,3,"apre-ACF","Non-ACF.apre-ACF","2009.2",15035,0.251,
"2009","2","males","50+","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.2",15035,0.251,11261.215
"2009","2","males","50+","Non-ACF","b) HIV-positive",3,"apre-ACF","Non-ACF.apre-ACF","2009.2",15035,0.251,3773.785
"2009","3","females","16-19","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.3",28737,0.028,27932.364
"2009","3","females","16-19","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2009.3",28737,0.028,804.636
"2009","3","females","20-29","ACF",,3,"apre-ACF","ACF.apre-ACF","2009.3",25090,0.073,
"2009","3","females","20-29","ACF","a) HIV-negative",3,"apre-ACF","ACF.apre-ACF","2009.3",25090,0.073,23258.43
"2009","3","females","20-29","ACF","b) HIV-positive",4,"apre-ACF","ACF.apre-ACF","2009.3",25090,0.073,1831.57
"2009","3","females","20-29","Non-ACF",,4,"apre-ACF","Non-ACF.apre-ACF","2009.3",57626,0.09,
"2009","3","females","20-29","Non-ACF","a) HIV-negative",9,"apre-ACF","Non-ACF.apre-ACF","2009.3",57626,0.09,52439.66
"2009","3","females","20-29","Non-ACF","b) HIV-positive",20,"apre-ACF","Non-ACF.apre-ACF","2009.3",57626,0.09,5186.34
"2009","3","females","30-39","ACF",,2,"apre-ACF","ACF.apre-ACF","2009.3",16186,0.206,
"2009","3","females","30-39","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.3",16186,0.206,12851.684
"2009","3","females","30-39","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.3",16186,0.206,3334.316
"2009","3","females","30-39","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.3",24073,0.212,18969.524
"2009","3","females","30-39","Non-ACF","b) HIV-positive",19,"apre-ACF","Non-ACF.apre-ACF","2009.3",24073,0.212,5103.476
"2009","3","females","40-49","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.3",12341,0.325,
"2009","3","females","40-49","Non-ACF","b) HIV-positive",4,"apre-ACF","Non-ACF.apre-ACF","2009.3",12341,0.325,4010.825
"2009","3","females","50+","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.3",5332,0.184,
"2009","3","females","50+","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.3",10107,0.215,
"2009","3","females","50+","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.3",10107,0.215,7933.995
"2009","3","females","50+","Non-ACF","b) HIV-positive",7,"apre-ACF","Non-ACF.apre-ACF","2009.3",10107,0.215,2173.005
"2009","3","males","16-19","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.3",9380,0.022,9173.64
"2009","3","males","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.3",9380,0.022,206.36
"2009","3","males","16-19","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.3",24818,0.019,
"2009","3","males","16-19","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.3",24818,0.019,24346.458
"2009","3","males","16-19","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2009.3",24818,0.019,471.542
"2009","3","males","20-29","ACF",,5,"apre-ACF","ACF.apre-ACF","2009.3",26076,0.016,
"2009","3","males","20-29","ACF","a) HIV-negative",4,"apre-ACF","ACF.apre-ACF","2009.3",26076,0.016,25658.784
"2009","3","males","20-29","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.3",26076,0.016,417.216
"2009","3","males","20-29","Non-ACF",,17,"apre-ACF","Non-ACF.apre-ACF","2009.3",54231,0.017,
"2009","3","males","20-29","Non-ACF","a) HIV-negative",9,"apre-ACF","Non-ACF.apre-ACF","2009.3",54231,0.017,53309.073
"2009","3","males","20-29","Non-ACF","b) HIV-positive",12,"apre-ACF","Non-ACF.apre-ACF","2009.3",54231,0.017,921.927
"2009","3","males","30-39","ACF",,5,"apre-ACF","ACF.apre-ACF","2009.3",16515,0.111,
"2009","3","males","30-39","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.3",16515,0.111,14681.835
"2009","3","males","30-39","ACF","b) HIV-positive",6,"apre-ACF","ACF.apre-ACF","2009.3",16515,0.111,1833.165
"2009","3","males","30-39","Non-ACF",,14,"apre-ACF","Non-ACF.apre-ACF","2009.3",35958,0.145,
"2009","3","males","30-39","Non-ACF","a) HIV-negative",8,"apre-ACF","Non-ACF.apre-ACF","2009.3",35958,0.145,30744.09
"2009","3","males","30-39","Non-ACF","b) HIV-positive",23,"apre-ACF","Non-ACF.apre-ACF","2009.3",35958,0.145,5213.91
"2009","3","males","40-49","ACF",,3,"apre-ACF","ACF.apre-ACF","2009.3",6065,0.248,
"2009","3","males","40-49","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.3",6065,0.248,4560.88
"2009","3","males","40-49","ACF","b) HIV-positive",2,"apre-ACF","ACF.apre-ACF","2009.3",6065,0.248,1504.12
"2009","3","males","40-49","Non-ACF",,4,"apre-ACF","Non-ACF.apre-ACF","2009.3",16433,0.24,
"2009","3","males","40-49","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.3",16433,0.24,12489.08
"2009","3","males","40-49","Non-ACF","b) HIV-positive",12,"apre-ACF","Non-ACF.apre-ACF","2009.3",16433,0.24,3943.92
"2009","3","males","50+","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.3",5500,0.199,1094.5
"2009","3","males","50+","Non-ACF",,3,"apre-ACF","Non-ACF.apre-ACF","2009.3",15164,0.251,
"2009","3","males","50+","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.3",15164,0.251,11357.836
"2009","3","males","50+","Non-ACF","b) HIV-positive",5,"apre-ACF","Non-ACF.apre-ACF","2009.3",15164,0.251,3806.164
"2009","4","females","16-19","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.4",9042,0.03,
"2009","4","females","16-19","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.4",9042,0.03,8770.74
"2009","4","females","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.4",9042,0.03,271.26
"2009","4","females","16-19","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.4",28950,0.028,
"2009","4","females","16-19","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.4",28950,0.028,28139.4
"2009","4","females","20-29","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.4",25127,0.073,
"2009","4","females","20-29","ACF","a) HIV-negative",3,"apre-ACF","ACF.apre-ACF","2009.4",25127,0.073,23292.729
"2009","4","females","20-29","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.4",25127,0.073,1834.271
"2009","4","females","20-29","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2009.4",57712,0.09,
"2009","4","females","20-29","Non-ACF","a) HIV-negative",25,"apre-ACF","Non-ACF.apre-ACF","2009.4",57712,0.09,52517.92
"2009","4","females","20-29","Non-ACF","b) HIV-positive",16,"apre-ACF","Non-ACF.apre-ACF","2009.4",57712,0.09,5194.08
"2009","4","females","30-39","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.4",16437,0.206,
"2009","4","females","30-39","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.4",16437,0.206,13050.978
"2009","4","females","30-39","ACF","b) HIV-positive",6,"apre-ACF","ACF.apre-ACF","2009.4",16437,0.206,3386.022
"2009","4","females","30-39","Non-ACF",,2,"apre-ACF","Non-ACF.apre-ACF","2009.4",24447,0.212,
"2009","4","females","30-39","Non-ACF","a) HIV-negative",2,"apre-ACF","Non-ACF.apre-ACF","2009.4",24447,0.212,19264.236
"2009","4","females","30-39","Non-ACF","b) HIV-positive",15,"apre-ACF","Non-ACF.apre-ACF","2009.4",24447,0.212,5182.764
"2009","4","females","40-49","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.4",5877,0.356,3784.788
"2009","4","females","40-49","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.4",5877,0.356,2092.212
"2009","4","females","40-49","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.4",12531,0.325,8458.425
"2009","4","females","40-49","Non-ACF","b) HIV-positive",2,"apre-ACF","Non-ACF.apre-ACF","2009.4",12531,0.325,4072.575
"2009","4","females","50+","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2009.4",10238,0.215,8036.83
"2009","4","females","50+","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2009.4",10238,0.215,2201.17
"2009","4","males","16-19","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.4",9467,0.022,9258.726
"2009","4","males","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.4",9467,0.022,208.274
"2009","4","males","16-19","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2009.4",25050,0.019,24574.05
"2009","4","males","20-29","ACF",,2,"apre-ACF","ACF.apre-ACF","2009.4",26096,0.016,
"2009","4","males","20-29","ACF","a) HIV-negative",5,"apre-ACF","ACF.apre-ACF","2009.4",26096,0.016,25678.464
"2009","4","males","20-29","ACF","b) HIV-positive",6,"apre-ACF","ACF.apre-ACF","2009.4",26096,0.016,417.536
"2009","4","males","20-29","Non-ACF",,4,"apre-ACF","Non-ACF.apre-ACF","2009.4",54273,0.017,
"2009","4","males","20-29","Non-ACF","a) HIV-negative",16,"apre-ACF","Non-ACF.apre-ACF","2009.4",54273,0.017,53350.359
"2009","4","males","20-29","Non-ACF","b) HIV-positive",5,"apre-ACF","Non-ACF.apre-ACF","2009.4",54273,0.017,922.641
"2009","4","males","30-39","ACF",,1,"apre-ACF","ACF.apre-ACF","2009.4",16612,0.111,
"2009","4","males","30-39","ACF","a) HIV-negative",5,"apre-ACF","ACF.apre-ACF","2009.4",16612,0.111,14768.068
"2009","4","males","30-39","ACF","b) HIV-positive",5,"apre-ACF","ACF.apre-ACF","2009.4",16612,0.111,1843.932
"2009","4","males","30-39","Non-ACF",,4,"apre-ACF","Non-ACF.apre-ACF","2009.4",36167,0.145,
"2009","4","males","30-39","Non-ACF","a) HIV-negative",17,"apre-ACF","Non-ACF.apre-ACF","2009.4",36167,0.145,30922.785
"2009","4","males","30-39","Non-ACF","b) HIV-positive",18,"apre-ACF","Non-ACF.apre-ACF","2009.4",36167,0.145,5244.215
"2009","4","males","40-49","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2009.4",6178,0.248,4645.856
"2009","4","males","40-49","ACF","b) HIV-positive",6,"apre-ACF","ACF.apre-ACF","2009.4",6178,0.248,1532.144
"2009","4","males","40-49","Non-ACF","a) HIV-negative",7,"apre-ACF","Non-ACF.apre-ACF","2009.4",16738,0.24,12720.88
"2009","4","males","40-49","Non-ACF","b) HIV-positive",14,"apre-ACF","Non-ACF.apre-ACF","2009.4",16738,0.24,4017.12
"2009","4","males","50+","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2009.4",5548,0.199,4443.948
"2009","4","males","50+","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2009.4",5548,0.199,1104.052
"2009","4","males","50+","Non-ACF","a) HIV-negative",6,"apre-ACF","Non-ACF.apre-ACF","2009.4",15294,0.251,11455.206
"2009","4","males","50+","Non-ACF","b) HIV-positive",6,"apre-ACF","Non-ACF.apre-ACF","2009.4",15294,0.251,3838.794
"2010","1","females","16-19","ACF",,1,"apre-ACF","ACF.apre-ACF","2010.1",9109,0.03,
"2010","1","females","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2010.1",9109,0.03,273.27
"2010","1","females","16-19","Non-ACF","a) HIV-negative",3,"apre-ACF","Non-ACF.apre-ACF","2010.1",29162,0.028,28345.464
"2010","1","females","16-19","Non-ACF","b) HIV-positive",1,"apre-ACF","Non-ACF.apre-ACF","2010.1",29162,0.028,816.536
"2010","1","females","20-29","ACF",,3,"apre-ACF","ACF.apre-ACF","2010.1",25165,0.073,
"2010","1","females","20-29","ACF","a) HIV-negative",2,"apre-ACF","ACF.apre-ACF","2010.1",25165,0.073,23327.955
"2010","1","females","20-29","ACF","b) HIV-positive",9,"apre-ACF","ACF.apre-ACF","2010.1",25165,0.073,1837.045
"2010","1","females","20-29","Non-ACF",,10,"apre-ACF","Non-ACF.apre-ACF","2010.1",57798,0.09,
"2010","1","females","20-29","Non-ACF","a) HIV-negative",7,"apre-ACF","Non-ACF.apre-ACF","2010.1",57798,0.09,52596.18
"2010","1","females","20-29","Non-ACF","b) HIV-positive",11,"apre-ACF","Non-ACF.apre-ACF","2010.1",57798,0.09,5201.82
"2010","1","females","30-39","ACF",,2,"apre-ACF","ACF.apre-ACF","2010.1",16688,0.206,
"2010","1","females","30-39","ACF","b) HIV-positive",4,"apre-ACF","ACF.apre-ACF","2010.1",16688,0.206,3437.728
"2010","1","females","30-39","Non-ACF",,3,"apre-ACF","Non-ACF.apre-ACF","2010.1",24821,0.212,
"2010","1","females","30-39","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2010.1",24821,0.212,19558.948
"2010","1","females","30-39","Non-ACF","b) HIV-positive",12,"apre-ACF","Non-ACF.apre-ACF","2010.1",24821,0.212,5262.052
"2010","1","females","40-49","ACF","b) HIV-positive",3,"apre-ACF","ACF.apre-ACF","2010.1",5966,0.356,2123.896
"2010","1","females","40-49","Non-ACF",,1,"apre-ACF","Non-ACF.apre-ACF","2010.1",12721,0.325,
"2010","1","females","40-49","Non-ACF","a) HIV-negative",5,"apre-ACF","Non-ACF.apre-ACF","2010.1",12721,0.325,8586.675
"2010","1","females","40-49","Non-ACF","b) HIV-positive",3,"apre-ACF","Non-ACF.apre-ACF","2010.1",12721,0.325,4134.325
"2010","1","females","50+","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2010.1",5471,0.184,1006.664
"2010","1","females","50+","Non-ACF",,2,"apre-ACF","Non-ACF.apre-ACF","2010.1",10371,0.215,
"2010","1","females","50+","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2010.1",10371,0.215,8141.235
"2010","1","females","50+","Non-ACF","b) HIV-positive",4,"apre-ACF","Non-ACF.apre-ACF","2010.1",10371,0.215,2229.765
"2010","1","males","16-19","ACF",,2,"apre-ACF","ACF.apre-ACF","2010.1",9555,0.022,
"2010","1","males","16-19","ACF","a) HIV-negative",1,"apre-ACF","ACF.apre-ACF","2010.1",9555,0.022,9344.79
"2010","1","males","16-19","ACF","b) HIV-positive",1,"apre-ACF","ACF.apre-ACF","2010.1",9555,0.022,210.21
"2010","1","males","16-19","Non-ACF","a) HIV-negative",1,"apre-ACF","Non-ACF.apre-ACF","2010.1",25281,0.019,24800.661
"2010","1","males","20-29","ACF",,6,"apre-ACF","ACF.apre-ACF","2010.1",26117,0.016,
"2010","1","males","20-29","ACF","a) HIV-negative",6,"apre-ACF","ACF.apre-ACF","2010.1",26117,0.016,25699.128
"2010","1","males","20-29","ACF","b) HIV-positive",11,"apre-ACF","ACF.apre-ACF","2010.1",26117,0.016,417.872
"2010","1","males","20-29","Non-ACF",,16,"apre-ACF","Non-ACF.apre-ACF","2010.1",54314,0.017,
"2010","1","males","20-29","Non-ACF","a) HIV-negative",8,"apre-ACF","Non-ACF.apre-ACF","2010.1",54314,0.017,53390.662
"2010","1","males","20-29","Non-ACF","b) HIV-positive",8,"apre-ACF","Non-ACF.apre-ACF","2010.1",54314,0.017,923.338
"2010","1","males","30-39","ACF",,6,"apre-ACF","ACF.apre-ACF","2010.1",16708,0.111,
"2010","1","males","30-39","ACF","a) HIV-negative",5,"apre-ACF","ACF.apre-ACF","2010.1",16708,0.111,14853.412
"2010","1","males","30-39","ACF","b) HIV-positive",7,"apre-ACF","ACF.apre-ACF","2010.1",16708,0.111,1854.588
