year,quarter,sex,age,acf,population,hiv,n,hiv_prev,hivpop,period,acfperiod
2013,2,females,16-19,ACF,9973,b) HIV-positive,1,0.032,319.136,bACF,ACF.bACF
2013,3,females,16-19,ACF,10040,a) HIV-negative,2,0.032,9718.72,bACF,ACF.bACF
2013,4,females,16-19,ACF,10106,,2,0.032,,bACF,ACF.bACF
2013,4,females,16-19,ACF,10106,a) HIV-negative,1,0.032,9782.608,bACF,ACF.bACF
2013,4,females,16-19,ACF,10106,b) HIV-positive,2,0.032,323.392,bACF,ACF.bACF
2014,1,females,16-19,ACF,10173,a) HIV-negative,5,0.032,9847.464,bACF,ACF.bACF
2014,1,females,16-19,ACF,10173,b) HIV-positive,1,0.032,325.536,bACF,ACF.bACF
2014,2,females,16-19,ACF,10239,b) HIV-positive,2,0.032,327.648,bACF,ACF.bACF
2014,3,females,16-19,ACF,10306,a) HIV-negative,2,0.032,9976.208,bACF,ACF.bACF
2014,4,females,16-19,ACF,10372,a) HIV-negative,1,0.032,10040.096,cpost-ACF,ACF.cpost-ACF
2014,4,females,16-19,ACF,10372,b) HIV-positive,2,0.032,331.904,cpost-ACF,ACF.cpost-ACF
2015,1,females,16-19,ACF,10439,,2,0.032,,cpost-ACF,ACF.cpost-ACF
2015,1,females,16-19,ACF,10439,a) HIV-negative,4,0.032,10104.952,cpost-ACF,ACF.cpost-ACF
2015,2,females,16-19,ACF,10505,a) HIV-negative,1,0.032,10168.84,cpost-ACF,ACF.cpost-ACF
2015,3,females,16-19,ACF,10572,,,0.032,,cpost-ACF,ACF.cpost-ACF
2015,4,females,16-19,ACF,10638,a) HIV-negative,1,0.032,10297.584,cpost-ACF,ACF.cpost-ACF
2016,1,females,16-19,ACF,10705,a) HIV-negative,1,0.032,10362.44,cpost-ACF,ACF.cpost-ACF
2016,1,females,16-19,ACF,10705,b) HIV-positive,1,0.032,342.56,cpost-ACF,ACF.cpost-ACF
2016,2,females,16-19,ACF,10771,a) HIV-negative,2,0.032,10426.328,cpost-ACF,ACF.cpost-ACF
2016,2,females,16-19,ACF,10771,b) HIV-positive,4,0.032,344.672,cpost-ACF,ACF.cpost-ACF
2016,3,females,16-19,ACF,10838,b) HIV-positive,1,0.032,346.816,cpost-ACF,ACF.cpost-ACF
2016,4,females,16-19,ACF,10904,a) HIV-negative,1,0.032,10555.072,cpost-ACF,ACF.cpost-ACF
2016,4,females,16-19,ACF,10904,b) HIV-positive,1,0.032,348.928,cpost-ACF,ACF.cpost-ACF
2017,1,females,16-19,ACF,10971,,,0.032,,cpost-ACF,ACF.cpost-ACF
2017,2,females,16-19,ACF,11037,a) HIV-negative,1,0.032,10683.816,cpost-ACF,ACF.cpost-ACF
2017,2,females,16-19,ACF,11037,b) HIV-positive,3,0.032,353.184,cpost-ACF,ACF.cpost-ACF
2017,3,females,16-19,ACF,11104,a) HIV-negative,1,0.032,10748.672,cpost-ACF,ACF.cpost-ACF
2017,4,females,16-19,ACF,11170,a) HIV-negative,1,0.032,10812.56,cpost-ACF,ACF.cpost-ACF
2018,1,females,16-19,ACF,11237,b) HIV-positive,1,0.032,359.584,cpost-ACF,ACF.cpost-ACF
2018,2,females,16-19,ACF,11303,a) HIV-negative,3,0.032,10941.304,cpost-ACF,ACF.cpost-ACF
2018,3,females,16-19,ACF,11368,a) HIV-negative,1,0.032,11004.224,cpost-ACF,ACF.cpost-ACF
2018,3,females,16-19,ACF,11368,b) HIV-positive,1,0.032,363.776,cpost-ACF,ACF.cpost-ACF
2018,4,females,16-19,ACF,11433,a) HIV-negative,2,0.032,11067.144,cpost-ACF,ACF.cpost-ACF
2018,4,females,16-19,ACF,11433,b) HIV-positive,1,0.032,365.856,cpost-ACF,ACF.cpost-ACF
2009,1,males,16-19,ACF,9204,b) HIV-positive,1,0.019,174.876,apre-ACF,ACF.apre-ACF
2009,2,males,16-19,ACF,9292,,1,0.019,,apre-ACF,ACF.apre-ACF
2009,2,males,16-19,ACF,9292,a) HIV-negative,1,0.019,9115.452,apre-ACF,ACF.apre-ACF
2009,3,males,16-19,ACF,9380,a) HIV-negative,1,0.019,9201.78,apre-ACF,ACF.apre-ACF
2009,3,males,16-19,ACF,9380,b) HIV-positive,1,0.019,178.22,apre-ACF,ACF.apre-ACF
2009,4,males,16-19,ACF,9467,a) HIV-negative,1,0.019,9287.127,apre-ACF,ACF.apre-ACF
2009,4,males,16-19,ACF,9467,b) HIV-positive,1,0.019,179.873,apre-ACF,ACF.apre-ACF
2010,1,males,16-19,ACF,9555,,2,0.019,,apre-ACF,ACF.apre-ACF
2010,1,males,16-19,ACF,9555,a) HIV-negative,1,0.019,9373.455,apre-ACF,ACF.apre-ACF
2010,1,males,16-19,ACF,9555,b) HIV-positive,1,0.019,181.545,apre-ACF,ACF.apre-ACF
2010,2,males,16-19,ACF,9642,a) HIV-negative,2,0.019,9458.802,apre-ACF,ACF.apre-ACF
2010,2,males,16-19,ACF,9642,b) HIV-positive,1,0.019,183.198,apre-ACF,ACF.apre-ACF
2010,3,males,16-19,ACF,9730,,2,0.019,,apre-ACF,ACF.apre-ACF
2010,4,males,16-19,ACF,9818,a) HIV-negative,2,0.019,9631.458,apre-ACF,ACF.apre-ACF
2010,4,males,16-19,ACF,9818,b) HIV-positive,1,0.019,186.542,apre-ACF,ACF.apre-ACF
2011,1,males,16-19,ACF,9905,a) HIV-negative,1,0.019,9716.805,apre-ACF,ACF.apre-ACF
2011,2,males,16-19,ACF,9993,,1,0.019,,bACF,ACF.bACF
2011,3,males,16-19,ACF,10081,b) HIV-positive,1,0.019,191.539,bACF,ACF.bACF
2011,4,males,16-19,ACF,10168,a) HIV-negative,3,0.019,9974.808,bACF,ACF.bACF
2012,1,males,16-19,ACF,10256,,1,0.019,,bACF,ACF.bACF
2012,1,males,16-19,ACF,10256,a) HIV-negative,2,0.019,10061.136,bACF,ACF.bACF
2012,2,males,16-19,ACF,10343,a) HIV-negative,1,0.019,10146.483,bACF,ACF.bACF
2012,3,males,16-19,ACF,10431,a) HIV-negative,3,0.019,10232.811,bACF,ACF.bACF
2012,4,males,16-19,ACF,10519,a) HIV-negative,1,0.019,10319.139,bACF,ACF.bACF
2012,4,males,16-19,ACF,10519,b) HIV-positive,1,0.019,199.861,bACF,ACF.bACF
2013,1,males,16-19,ACF,10606,a) HIV-negative,1,0.019,10404.486,bACF,ACF.bACF
2013,2,males,16-19,ACF,10694,a) HIV-negative,2,0.019,10490.814,bACF,ACF.bACF
2013,3,males,16-19,ACF,10782,a) HIV-negative,2,0.019,10577.142,bACF,ACF.bACF
2013,3,males,16-19,ACF,10782,b) HIV-positive,1,0.019,204.858,bACF,ACF.bACF
2013,4,males,16-19,ACF,10869,a) HIV-negative,3,0.019,10662.489,bACF,ACF.bACF
2014,1,males,16-19,ACF,10957,a) HIV-negative,3,0.019,10748.817,bACF,ACF.bACF
2014,1,males,16-19,ACF,10957,b) HIV-positive,1,0.019,208.183,bACF,ACF.bACF
2014,2,males,16-19,ACF,11044,a) HIV-negative,1,0.019,10834.164,bACF,ACF.bACF
2014,3,males,16-19,ACF,11132,,1,0.019,,bACF,ACF.bACF
2014,3,males,16-19,ACF,11132,a) HIV-negative,3,0.019,10920.492,bACF,ACF.bACF
2014,4,males,16-19,ACF,11220,,,0.019,,cpost-ACF,ACF.cpost-ACF
2015,1,males,16-19,ACF,11307,b) HIV-positive,1,0.019,214.833,cpost-ACF,ACF.cpost-ACF
2015,2,males,16-19,ACF,11395,a) HIV-negative,2,0.019,11178.495,cpost-ACF,ACF.cpost-ACF
2015,3,males,16-19,ACF,11483,a) HIV-negative,2,0.019,11264.823,cpost-ACF,ACF.cpost-ACF
2015,4,males,16-19,ACF,11570,a) HIV-negative,1,0.019,11350.17,cpost-ACF,ACF.cpost-ACF
2015,4,males,16-19,ACF,11570,b) HIV-positive,1,0.019,219.83,cpost-ACF,ACF.cpost-ACF
2016,1,males,16-19,ACF,11658,a) HIV-negative,2,0.019,11436.498,cpost-ACF,ACF.cpost-ACF
2016,2,males,16-19,ACF,11745,b) HIV-positive,3,0.019,223.155,cpost-ACF,ACF.cpost-ACF
2016,3,males,16-19,ACF,11833,a) HIV-negative,2,0.019,11608.173,cpost-ACF,ACF.cpost-ACF
2016,4,males,16-19,ACF,11921,a) HIV-negative,2,0.019,11694.501,cpost-ACF,ACF.cpost-ACF
2016,4,males,16-19,ACF,11921,b) HIV-positive,2,0.019,226.499,cpost-ACF,ACF.cpost-ACF
2017,1,males,16-19,ACF,12008,a) HIV-negative,2,0.019,11779.848,cpost-ACF,ACF.cpost-ACF
2017,1,males,16-19,ACF,12008,b) HIV-positive,1,0.019,228.152,cpost-ACF,ACF.cpost-ACF
2017,2,males,16-19,ACF,12096,,,0.019,,cpost-ACF,ACF.cpost-ACF
2017,3,males,16-19,ACF,12184,a) HIV-negative,1,0.019,11952.504,cpost-ACF,ACF.cpost-ACF
2017,3,males,16-19,ACF,12184,b) HIV-positive,1,0.019,231.496,cpost-ACF,ACF.cpost-ACF
2017,4,males,16-19,ACF,12271,a) HIV-negative,1,0.019,12037.851,cpost-ACF,ACF.cpost-ACF
2018,1,males,16-19,ACF,12359,,,0.019,,cpost-ACF,ACF.cpost-ACF
2018,2,males,16-19,ACF,12446,a) HIV-negative,1,0.019,12209.526,cpost-ACF,ACF.cpost-ACF
2018,3,males,16-19,ACF,12532,a) HIV-negative,3,0.019,12293.892,cpost-ACF,ACF.cpost-ACF
2018,4,males,16-19,ACF,12618,a) HIV-negative,2,0.019,12378.258,cpost-ACF,ACF.cpost-ACF
2009,1,females,20-29,ACF,25015,,2,0.1,,apre-ACF,ACF.apre-ACF
2009,1,females,20-29,ACF,25015,a) HIV-negative,5,0.1,22513.5,apre-ACF,ACF.apre-ACF
2009,1,females,20-29,ACF,25015,b) HIV-positive,9,0.1,2501.5,apre-ACF,ACF.apre-ACF
2009,2,females,20-29,ACF,25053,,2,0.1,,apre-ACF,ACF.apre-ACF
2009,2,females,20-29,ACF,25053,a) HIV-negative,4,0.1,22547.7,apre-ACF,ACF.apre-ACF
2009,2,females,20-29,ACF,25053,b) HIV-positive,7,0.1,2505.3,apre-ACF,ACF.apre-ACF
2009,3,females,20-29,ACF,25090,,3,0.1,,apre-ACF,ACF.apre-ACF
2009,3,females,20-29,ACF,25090,a) HIV-negative,3,0.1,22581,apre-ACF,ACF.apre-ACF
2009,3,females,20-29,ACF,25090,b) HIV-positive,4,0.1,2509,apre-ACF,ACF.apre-ACF
2009,4,females,20-29,ACF,25127,,1,0.1,,apre-ACF,ACF.apre-ACF
2009,4,females,20-29,ACF,25127,a) HIV-negative,3,0.1,22614.3,apre-ACF,ACF.apre-ACF
2009,4,females,20-29,ACF,25127,b) HIV-positive,5,0.1,2512.7,apre-ACF,ACF.apre-ACF
2010,1,females,20-29,ACF,25165,,3,0.1,,apre-ACF,ACF.apre-ACF
2010,1,females,20-29,ACF,25165,a) HIV-negative,2,0.1,22648.5,apre-ACF,ACF.apre-ACF
2010,1,females,20-29,ACF,25165,b) HIV-positive,9,0.1,2516.5,apre-ACF,ACF.apre-ACF
2010,2,females,20-29,ACF,25202,,2,0.1,,apre-ACF,ACF.apre-ACF
2010,2,females,20-29,ACF,25202,a) HIV-negative,1,0.1,22681.8,apre-ACF,ACF.apre-ACF
2010,2,females,20-29,ACF,25202,b) HIV-positive,2,0.1,2520.2,apre-ACF,ACF.apre-ACF
2010,3,females,20-29,ACF,25239,,6,0.1,,apre-ACF,ACF.apre-ACF
2010,3,females,20-29,ACF,25239,a) HIV-negative,7,0.1,22715.1,apre-ACF,ACF.apre-ACF
2010,3,females,20-29,ACF,25239,b) HIV-positive,11,0.1,2523.9,apre-ACF,ACF.apre-ACF
2010,4,females,20-29,ACF,25277,,2,0.1,,apre-ACF,ACF.apre-ACF
2010,4,females,20-29,ACF,25277,a) HIV-negative,6,0.1,22749.3,apre-ACF,ACF.apre-ACF
2010,4,females,20-29,ACF,25277,b) HIV-positive,9,0.1,2527.7,apre-ACF,ACF.apre-ACF
2011,1,females,20-29,ACF,25315,,3,0.1,,apre-ACF,ACF.apre-ACF
2011,1,females,20-29,ACF,25315,a) HIV-negative,1,0.1,22783.5,apre-ACF,ACF.apre-ACF
2011,1,females,20-29,ACF,25315,b) HIV-positive,5,0.1,2531.5,apre-ACF,ACF.apre-ACF
2011,2,females,20-29,ACF,25352,,1,0.1,,bACF,ACF.bACF
2011,2,females,20-29,ACF,25352,a) HIV-negative,4,0.1,22816.8,bACF,ACF.bACF
2011,2,females,20-29,ACF,25352,b) HIV-positive,15,0.1,2535.2,bACF,ACF.bACF
2011,3,females,20-29,ACF,25390,,2,0.1,,bACF,ACF.bACF
2011,3,females,20-29,ACF,25390,a) HIV-negative,4,0.1,22851,bACF,ACF.bACF
2011,3,females,20-29,ACF,25390,b) HIV-positive,19,0.1,2539,bACF,ACF.bACF
2011,4,females,20-29,ACF,25427,a) HIV-negative,4,0.1,22884.3,bACF,ACF.bACF
2011,4,females,20-29,ACF,25427,b) HIV-positive,7,0.1,2542.7,bACF,ACF.bACF
2012,1,females,20-29,ACF,25465,,1,0.1,,bACF,ACF.bACF
2012,1,females,20-29,ACF,25465,a) HIV-negative,3,0.1,22918.5,bACF,ACF.bACF
2012,1,females,20-29,ACF,25465,b) HIV-positive,14,0.1,2546.5,bACF,ACF.bACF
2012,2,females,20-29,ACF,25502,,1,0.1,,bACF,ACF.bACF
2012,2,females,20-29,ACF,25502,a) HIV-negative,2,0.1,22951.8,bACF,ACF.bACF
2012,2,females,20-29,ACF,25502,b) HIV-positive,17,0.1,2550.2,bACF,ACF.bACF
2012,3,females,20-29,ACF,25539,a) HIV-negative,3,0.1,22985.1,bACF,ACF.bACF
2012,3,females,20-29,ACF,25539,b) HIV-positive,6,0.1,2553.9,bACF,ACF.bACF
2012,4,females,20-29,ACF,25577,,1,0.1,,bACF,ACF.bACF
2012,4,females,20-29,ACF,25577,a) HIV-negative,2,0.1,23019.3,bACF,ACF.bACF
2012,4,females,20-29,ACF,25577,b) HIV-positive,11,0.1,2557.7,bACF,ACF.bACF
2013,1,females,20-29,ACF,25614,a) HIV-negative,3,0.1,23052.6,bACF,ACF.bACF
2013,1,females,20-29,ACF,25614,b) HIV-positive,8,0.1,2561.4,bACF,ACF.bACF
2013,2,females,20-29,ACF,25652,,2,0.1,,bACF,ACF.bACF
2013,2,females,20-29,ACF,25652,a) HIV-negative,4,0.1,23086.8,bACF,ACF.bACF
2013,2,females,20-29,ACF,25652,b) HIV-positive,6,0.1,2565.2,bACF,ACF.bACF
2013,3,females,20-29,ACF,25689,a) HIV-negative,5,0.1,23120.1,bACF,ACF.bACF
2013,3,females,20-29,ACF,25689,b) HIV-positive,9,0.1,2568.9,bACF,ACF.bACF
2013,4,females,20-29,ACF,25726,a) HIV-negative,3,0.1,23153.4,bACF,ACF.bACF
2013,4,females,20-29,ACF,25726,b) HIV-positive,4,0.1,2572.6,bACF,ACF.bACF
2014,1,females,20-29,ACF,25764,,3,0.1,,bACF,ACF.bACF
2014,1,females,20-29,ACF,25764,a) HIV-negative,10,0.1,23187.6,bACF,ACF.bACF
2014,1,females,20-29,ACF,25764,b) HIV-positive,20,0.1,2576.4,bACF,ACF.bACF
2014,2,females,20-29,ACF,25801,,1,0.1,,bACF,ACF.bACF
2014,2,females,20-29,ACF,25801,a) HIV-negative,7,0.1,23220.9,bACF,ACF.bACF
2014,2,females,20-29,ACF,25801,b) HIV-positive,14,0.1,2580.1,bACF,ACF.bACF
2014,3,females,20-29,ACF,25839,a) HIV-negative,2,0.1,23255.1,bACF,ACF.bACF
2014,3,females,20-29,ACF,25839,b) HIV-positive,12,0.1,2583.9,bACF,ACF.bACF
2014,4,females,20-29,ACF,25876,a) HIV-negative,9,0.1,23288.4,cpost-ACF,ACF.cpost-ACF
2014,4,females,20-29,ACF,25876,b) HIV-positive,12,0.1,2587.6,cpost-ACF,ACF.cpost-ACF
2015,1,females,20-29,ACF,25913,,2,0.1,,cpost-ACF,ACF.cpost-ACF
2015,1,females,20-29,ACF,25913,a) HIV-negative,1,0.1,23321.7,cpost-ACF,ACF.cpost-ACF
2015,1,females,20-29,ACF,25913,b) HIV-positive,9,0.1,2591.3,cpost-ACF,ACF.cpost-ACF
2015,2,females,20-29,ACF,25951,a) HIV-negative,5,0.1,23355.9,cpost-ACF,ACF.cpost-ACF
2015,2,females,20-29,ACF,25951,b) HIV-positive,12,0.1,2595.1,cpost-ACF,ACF.cpost-ACF
2015,3,females,20-29,ACF,25988,a) HIV-negative,3,0.1,23389.2,cpost-ACF,ACF.cpost-ACF
2015,3,females,20-29,ACF,25988,b) HIV-positive,3,0.1,2598.8,cpost-ACF,ACF.cpost-ACF
2015,4,females,20-29,ACF,26026,a) HIV-negative,6,0.1,23423.4,cpost-ACF,ACF.cpost-ACF
2015,4,females,20-29,ACF,26026,b) HIV-positive,6,0.1,2602.6,cpost-ACF,ACF.cpost-ACF
2016,1,females,20-29,ACF,26064,a) HIV-negative,3,0.1,23457.6,cpost-ACF,ACF.cpost-ACF
2016,1,females,20-29,ACF,26064,b) HIV-positive,4,0.1,2606.4,cpost-ACF,ACF.cpost-ACF
2016,2,females,20-29,ACF,26101,a) HIV-negative,4,0.1,23490.9,cpost-ACF,ACF.cpost-ACF
2016,2,females,20-29,ACF,26101,b) HIV-positive,6,0.1,2610.1,cpost-ACF,ACF.cpost-ACF
2016,3,females,20-29,ACF,26138,a) HIV-negative,2,0.1,23524.2,cpost-ACF,ACF.cpost-ACF
2016,3,females,20-29,ACF,26138,b) HIV-positive,9,0.1,2613.8,cpost-ACF,ACF.cpost-ACF
2016,4,females,20-29,ACF,26176,,1,0.1,,cpost-ACF,ACF.cpost-ACF
2016,4,females,20-29,ACF,26176,a) HIV-negative,7,0.1,23558.4,cpost-ACF,ACF.cpost-ACF
2016,4,females,20-29,ACF,26176,b) HIV-positive,3,0.1,2617.6,cpost-ACF,ACF.cpost-ACF
2017,1,females,20-29,ACF,26213,,1,0.1,,cpost-ACF,ACF.cpost-ACF
2017,1,females,20-29,ACF,26213,a) HIV-negative,5,0.1,23591.7,cpost-ACF,ACF.cpost-ACF
2017,1,females,20-29,ACF,26213,b) HIV-positive,5,0.1,2621.3,cpost-ACF,ACF.cpost-ACF
2017,2,females,20-29,ACF,26251,a) HIV-negative,2,0.1,23625.9,cpost-ACF,ACF.cpost-ACF
2017,2,females,20-29,ACF,26251,b) HIV-positive,5,0.1,2625.1,cpost-ACF,ACF.cpost-ACF
2017,3,females,20-29,ACF,26288,a) HIV-negative,5,0.1,23659.2,cpost-ACF,ACF.cpost-ACF
2017,3,females,20-29,ACF,26288,b) HIV-positive,5,0.1,2628.8,cpost-ACF,ACF.cpost-ACF
2017,4,females,20-29,ACF,26325,a) HIV-negative,5,0.1,23692.5,cpost-ACF,ACF.cpost-ACF
2017,4,females,20-29,ACF,26325,b) HIV-positive,5,0.1,2632.5,cpost-ACF,ACF.cpost-ACF
2018,1,females,20-29,ACF,26363,a) HIV-negative,2,0.1,23726.7,cpost-ACF,ACF.cpost-ACF
2018,1,females,20-29,ACF,26363,b) HIV-positive,4,0.1,2636.3,cpost-ACF,ACF.cpost-ACF
2018,2,females,20-29,ACF,26400,a) HIV-negative,4,0.1,23760,cpost-ACF,ACF.cpost-ACF
2018,2,females,20-29,ACF,26400,b) HIV-positive,1,0.1,2640,cpost-ACF,ACF.cpost-ACF
2018,3,females,20-29,ACF,26437,a) HIV-negative,5,0.1,23793.3,cpost-ACF,ACF.cpost-ACF
2018,3,females,20-29,ACF,26437,b) HIV-positive,2,0.1,2643.7,cpost-ACF,ACF.cpost-ACF
2018,4,females,20-29,ACF,26473,a) HIV-negative,3,0.1,23825.7,cpost-ACF,ACF.cpost-ACF
2018,4,females,20-29,ACF,26473,b) HIV-positive,2,0.1,2647.3,cpost-ACF,ACF.cpost-ACF
2009,1,males,20-29,ACF,26036,,5,0.038,,apre-ACF,ACF.apre-ACF
2009,1,males,20-29,ACF,26036,a) HIV-negative,2,0.038,25046.632,apre-ACF,ACF.apre-ACF
2009,1,males,20-29,ACF,26036,b) HIV-positive,4,0.038,989.368,apre-ACF,ACF.apre-ACF
2009,2,males,20-29,ACF,26056,,10,0.038,,apre-ACF,ACF.apre-ACF
2009,2,males,20-29,ACF,26056,a) HIV-negative,3,0.038,25065.872,apre-ACF,ACF.apre-ACF
2009,2,males,20-29,ACF,26056,b) HIV-positive,6,0.038,990.128,apre-ACF,ACF.apre-ACF
2009,3,males,20-29,ACF,26076,,5,0.038,,apre-ACF,ACF.apre-ACF
2009,3,males,20-29,ACF,26076,a) HIV-negative,4,0.038,25085.112,apre-ACF,ACF.apre-ACF
2009,3,males,20-29,ACF,26076,b) HIV-positive,5,0.038,990.888,apre-ACF,ACF.apre-ACF
2009,4,males,20-29,ACF,26096,,2,0.038,,apre-ACF,ACF.apre-ACF
2009,4,males,20-29,ACF,26096,a) HIV-negative,5,0.038,25104.352,apre-ACF,ACF.apre-ACF
2009,4,males,20-29,ACF,26096,b) HIV-positive,6,0.038,991.648,apre-ACF,ACF.apre-ACF
2010,1,males,20-29,ACF,26117,,6,0.038,,apre-ACF,ACF.apre-ACF
2010,1,males,20-29,ACF,26117,a) HIV-negative,6,0.038,25124.554,apre-ACF,ACF.apre-ACF
2010,1,males,20-29,ACF,26117,b) HIV-positive,11,0.038,992.446,apre-ACF,ACF.apre-ACF
2010,2,males,20-29,ACF,26137,,4,0.038,,apre-ACF,ACF.apre-ACF
2010,2,males,20-29,ACF,26137,a) HIV-negative,4,0.038,25143.794,apre-ACF,ACF.apre-ACF
2010,2,males,20-29,ACF,26137,b) HIV-positive,8,0.038,993.206,apre-ACF,ACF.apre-ACF
2010,3,males,20-29,ACF,26157,,13,0.038,,apre-ACF,ACF.apre-ACF
2010,3,males,20-29,ACF,26157,a) HIV-negative,4,0.038,25163.034,apre-ACF,ACF.apre-ACF
2010,3,males,20-29,ACF,26157,b) HIV-positive,9,0.038,993.966,apre-ACF,ACF.apre-ACF
2010,4,males,20-29,ACF,26177,,4,0.038,,apre-ACF,ACF.apre-ACF
2010,4,males,20-29,ACF,26177,a) HIV-negative,7,0.038,25182.274,apre-ACF,ACF.apre-ACF
2010,4,males,20-29,ACF,26177,b) HIV-positive,12,0.038,994.726,apre-ACF,ACF.apre-ACF
2011,1,males,20-29,ACF,26197,,6,0.038,,apre-ACF,ACF.apre-ACF
2011,1,males,20-29,ACF,26197,a) HIV-negative,2,0.038,25201.514,apre-ACF,ACF.apre-ACF
2011,1,males,20-29,ACF,26197,b) HIV-positive,1,0.038,995.486,apre-ACF,ACF.apre-ACF
2011,2,males,20-29,ACF,26217,,4,0.038,,bACF,ACF.bACF
2011,2,males,20-29,ACF,26217,a) HIV-negative,12,0.038,25220.754,bACF,ACF.bACF
2011,2,males,20-29,ACF,26217,b) HIV-positive,4,0.038,996.246,bACF,ACF.bACF
2011,3,males,20-29,ACF,26237,,4,0.038,,bACF,ACF.bACF
2011,3,males,20-29,ACF,26237,a) HIV-negative,7,0.038,25239.994,bACF,ACF.bACF
2011,3,males,20-29,ACF,26237,b) HIV-positive,18,0.038,997.006,bACF,ACF.bACF
2011,4,males,20-29,ACF,26257,,3,0.038,,bACF,ACF.bACF
2011,4,males,20-29,ACF,26257,a) HIV-negative,6,0.038,25259.234,bACF,ACF.bACF
2011,4,males,20-29,ACF,26257,b) HIV-positive,9,0.038,997.766,bACF,ACF.bACF
2012,1,males,20-29,ACF,26278,,2,0.038,,bACF,ACF.bACF
2012,1,males,20-29,ACF,26278,a) HIV-negative,8,0.038,25279.436,bACF,ACF.bACF
2012,1,males,20-29,ACF,26278,b) HIV-positive,9,0.038,998.564,bACF,ACF.bACF
2012,2,males,20-29,ACF,26298,,2,0.038,,bACF,ACF.bACF
2012,2,males,20-29,ACF,26298,a) HIV-negative,5,0.038,25298.676,bACF,ACF.bACF
2012,2,males,20-29,ACF,26298,b) HIV-positive,12,0.038,999.324,bACF,ACF.bACF
2012,3,males,20-29,ACF,26318,,1,0.038,,bACF,ACF.bACF
2012,3,males,20-29,ACF,26318,a) HIV-negative,7,0.038,25317.916,bACF,ACF.bACF
2012,3,males,20-29,ACF,26318,b) HIV-positive,11,0.038,1000.084,bACF,ACF.bACF
2012,4,males,20-29,ACF,26338,a) HIV-negative,12,0.038,25337.156,bACF,ACF.bACF
2012,4,males,20-29,ACF,26338,b) HIV-positive,7,0.038,1000.844,bACF,ACF.bACF
2013,1,males,20-29,ACF,26358,,2,0.038,,bACF,ACF.bACF
2013,1,males,20-29,ACF,26358,a) HIV-negative,6,0.038,25356.396,bACF,ACF.bACF
2013,1,males,20-29,ACF,26358,b) HIV-positive,6,0.038,1001.604,bACF,ACF.bACF
