year_q,acf,cases,tbcases,population,q_population,cnr,conf.low,conf.high,period
2012.3,Non-ACF,171,Smr/Xpert-positive cases,302431,75608,226.16654322293937,193.56808096467904,262.6732947034222,ACF
2012.4,ACF,104,Smr/Xpert-positive cases,136314,34078,305.18222900404953,249.42200379986696,369.65985414395334,ACF
2012.4,Non-ACF,170,Smr/Xpert-positive cases,304344,76086,223.43138028020925,191.1359275399533,259.6110628454461,ACF
2013.1,ACF,83,Smr/Xpert-positive cases,137189,34297,242.00367379071056,192.79926493738702,299.91293589949504,ACF
2013.1,Non-ACF,179,Smr/Xpert-positive cases,306258,76564,233.79133796562354,200.8273548651922,270.61207159987634,ACF
2013.2,ACF,85,Smr/Xpert-positive cases,138069,34517,246.25546831995828,196.74604634062578,304.4099895606257,ACF
2013.2,Non-ACF,150,Smr/Xpert-positive cases,308169,77042,194.69899535318396,164.81183629607617,228.43051159503665,ACF
2013.3,ACF,104,Smr/Xpert-positive cases,138945,34736,299.4011976047904,244.69600399829412,362.65965247408445,ACF
2013.3,Non-ACF,146,Smr/Xpert-positive cases,310079,77520,188.33849329205367,159.05036642127232,221.44912144789788,ACF
2013.4,ACF,90,Smr/Xpert-positive cases,139820,34955,257.47389500786727,207.08870534629784,316.38572023389025,ACF
2013.4,Non-ACF,126,Smr/Xpert-positive cases,311993,77998,161.542603656504,134.5865978353081,192.30742723495405,ACF
2014.1,ACF,122,Smr/Xpert-positive cases,140699,35175,346.8372423596304,288.10805396829295,413.984738272242,ACF
2014.1,Non-ACF,129,Smr/Xpert-positive cases,313904,78476,164.38146694530812,137.2582256153366,195.28885162897964,ACF
2014.2,ACF,98,Smr/Xpert-positive cases,141576,35394,276.8830875289597,224.84249990050793,337.32959391237796,ACF
2014.2,Non-ACF,117,Smr/Xpert-positive cases,315815,78954,148.18755224561136,122.57008086339756,177.57276806698002,ACF
2014.3,ACF,109,Smr/Xpert-positive cases,142453,35613,306.0680088731643,251.37901988232537,369.0924899934117,ACF
2014.3,Non-ACF,140,Smr/Xpert-positive cases,317727,79432,176.25138483230938,148.2857258362308,207.9505366665672,ACF
2014.4,ACF,81,Smr/Xpert-positive cases,143330,35832,226.05492297387812,179.55953204383673,280.8884608532473,post-ACF
2014.4,Non-ACF,145,Smr/Xpert-positive cases,319639,79910,181.45413590289076,153.14282120714853,213.4744764316624,post-ACF
2015.1,ACF,107,Smr/Xpert-positive cases,144207,36052,296.7935204704316,243.29127853000492,358.5336193380263,post-ACF
2015.1,Non-ACF,124,Smr/Xpert-positive cases,321550,80388,154.25187838980943,128.31459015003904,183.88612925740784,post-ACF
2015.2,ACF,97,Smr/Xpert-positive cases,145083,36271,267.4312811888285,216.92063501830182,326.14750470906677,post-ACF
2015.2,Non-ACF,132,Smr/Xpert-positive cases,323462,80866,163.2330027452823,136.59307150867267,193.54414042503976,post-ACF
2015.3,ACF,96,Smr/Xpert-positive cases,145960,36490,263.085776925185,213.15070557912696,321.1792514557501,post-ACF
2015.3,Non-ACF,146,Smr/Xpert-positive cases,325377,81344,179.4846577498033,151.57237312480814,211.04039338459822,post-ACF
2015.4,ACF,81,Smr/Xpert-positive cases,146839,36710,220.64832470716425,175.2640548615111,274.1722006515949,post-ACF
2015.4,Non-ACF,138,Smr/Xpert-positive cases,327285,81821,168.66085723713962,141.71403693933453,199.23341993762872,post-ACF
2016.1,ACF,96,Smr/Xpert-positive cases,147717,36929,259.95829835630536,210.61624668816904,317.3622753587096,post-ACF
2016.1,Non-ACF,121,Smr/Xpert-positive cases,329199,82300,147.02308626974482,122.0103900786098,175.64865476326366,post-ACF
2016.2,ACF,102,Smr/Xpert-positive cases,148591,37148,274.57736621083234,223.9388073883277,333.2202453849382,post-ACF
2016.2,Non-ACF,138,Smr/Xpert-positive cases,331114,82778,166.71096184976685,140.07546626364453,196.9304224845564,post-ACF
2016.3,ACF,102,Smr/Xpert-positive cases,149470,37368,272.96082209377005,222.6200772027698,331.25902125295244,post-ACF
2016.3,Non-ACF,161,Smr/Xpert-positive cases,333025,83256,193.37945613529354,164.68480567649917,225.62838328517165,post-ACF
2016.4,ACF,113,Smr/Xpert-positive cases,150348,37587,300.6358581424429,247.82875646828262,361.3372579209222,post-ACF
2016.4,Non-ACF,154,Smr/Xpert-positive cases,334937,83734,183.91573315499082,156.03636413424115,215.33177174200287,post-ACF
2017.1,ACF,114,Smr/Xpert-positive cases,151225,37806,301.53943818441513,248.7952952005773,362.13097528524526,post-ACF
2017.1,Non-ACF,148,Smr/Xpert-positive cases,336849,84212,175.7469244288225,148.59293421269015,206.41991126130253,post-ACF
2017.2,ACF,84,Smr/Xpert-positive cases,152103,38026,220.90148845526747,176.2367701699924,273.41913419656055,post-ACF
2017.2,Non-ACF,154,Smr/Xpert-positive cases,338760,84690,181.83965049002245,154.27475736471183,212.90143591345705,post-ACF
2017.3,ACF,90,Smr/Xpert-positive cases,152979,38245,235.32487906915938,189.27016274699545,289.176201878822,post-ACF
2017.3,Non-ACF,144,Smr/Xpert-positive cases,340672,85168,169.0775878264137,142.60849073414124,199.0279116560331,post-ACF
2017.4,ACF,67,Smr/Xpert-positive cases,153856,38464,174.18885191347752,135.01868235034266,221.1616581984338,post-ACF
2017.4,Non-ACF,100,Smr/Xpert-positive cases,342583,85646,116.75968521588865,95.01012478602176,141.9931281309845,post-ACF
2018.1,ACF,67,Smr/Xpert-positive cases,154732,38683,173.20269885996433,134.25414815269116,219.90986617315707,post-ACF
2018.1,Non-ACF,99,Smr/Xpert-positive cases,344497,86124,114.9505364358367,93.43563956718477,139.930658270657,post-ACF
2018.2,ACF,70,Smr/Xpert-positive cases,155611,38903,179.9347094054443,140.2939657349269,227.2827846474893,post-ACF
2018.2,Non-ACF,112,Smr/Xpert-positive cases,346407,86602,129.3272672686543,106.4992223350376,155.59385049220654,post-ACF
2018.3,ACF,90,Smr/Xpert-positive cases,156468,39117,230.07899378786715,185.05003574420238,282.7315588860133,post-ACF
2018.3,Non-ACF,100,Smr/Xpert-positive cases,348273,87068,114.85275876326548,93.4582562574648,139.67437567965285,post-ACF
2018.4,ACF,62,Smr/Xpert-positive cases,157331,39333,157.62845447842778,120.87352889146935,202.02764965161902,post-ACF
2018.4,Non-ACF,87,Smr/Xpert-positive cases,350156,87539,99.3842744376792,79.61015069475656,122.57590898101529,post-ACF
